nberCC,3,3,3,4,3,4,
nberNodeLargestCC,7,6,7,5,6,5,
nberEdgesLargestCC,11,7,8,7,9,6,
nberEdgesInducedGraph,11,8,8,8,10,7,
nberCC,3,3,2,3,4,6,
nberNodeLargestCC,7,7,8,7,6,3,
nberEdgesLargestCC,11,11,14,11,7,2,
nberEdgesInducedGraph,11,11,14,11,7,3,
