,nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph,density,3,2,7,13,13
,3,2,9,10,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.5,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.571428571,,,,,
,3,2,9,11,11,1.6,,,,,
,3,2,9,11,11,1.6,,,,,
,3,2,9,11,11,1.6,,,,,
,3,2,9,11,11,1.6,,,,,
,3,2,9,11,11,1.625,,,,,
,4,2,9,11,11,1.625,,,,,
,4,2,9,11,11,1.625,,,,,
,4,2,9,11,11,1.625,,,,,
,4,2,9,12,12,1.625,,,,,
,4,2,9,12,12,1.625,,,,,
,4,2,9,12,12,1.666666667,,,,,
,4,2,9,12,12,1.666666667,,,,,
,4,2,9,12,12,1.666666667,,,,,
,4,2,9,12,12,1.666666667,,,,,
,4,2,9,12,12,1.666666667,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.714285714,,,,,
,4,2,9,12,12,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.75,,,,,
,4,3,9,13,13,1.8,,,,,
,4,3,9,14,14,1.8,,,,,
,5,3,9,14,14,1.8,,,,,
,5,3,9,14,14,1.857142857,,,,,
,5,4,9,14,14,1.875,,,,,
,5,4,9,15,15,1.875,,,,,
,6,5,9,15,15,2,,,,,
Average,2.32,1.045,7.325,8.69,9.08,,,,,,
Standard deviation,1.083266974,0.988870225,1.500209366,2.525030474,2.146306867,,,,,,
Standard error,0.076598542,0.069923684,0.106080822,0.178546617,0.151766814,,,,,,
95% CI (C6 - C196),1,0,4,3,5,,,,,,
95% CI (C6 - C196),4,3,9,14,14,,,,,,
,,,,,,,,,,,
Real,3,2,7,13,13,2.166666667,,,,,
,nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph,,,,,,
