nberCC,nberOneNodeCC,highestNberNodesInCC,highestNberEdgesInCCs,nberEdgesInducedGraph,density
3,2,7,13,13,1.85714285714
6,4,3,2,3,0.666666666667
5,4,5,8,8,1.6
7,5,2,1,2,0.5
6,4,3,2,3,0.666666666667
5,3,3,3,5,1.0
7,5,2,2,3,1.0
5,2,3,2,4,0.666666666667
7,6,3,2,2,0.666666666667
7,6,3,2,2,0.666666666667
6,4,3,3,4,1.0
5,3,3,2,4,0.666666666667
7,6,3,2,2,0.666666666667
4,2,5,6,7,1.2
5,3,3,3,5,1.0
4,1,3,3,7,1.0
3,1,6,5,6,0.833333333333
5,2,3,3,5,1.0
2,0,7,11,12,1.57142857143
5,3,4,4,5,1.0
6,3,2,1,3,0.5
3,0,4,5,8,1.25
5,3,4,4,5,1.0
3,0,4,5,8,1.25
4,2,4,3,6,0.75
5,3,4,5,6,1.25
5,3,4,6,7,1.5
4,0,3,2,5,0.666666666667
6,4,3,4,5,1.33333333333
4,1,4,4,6,1.0
3,1,5,7,9,1.4
5,3,4,6,7,1.5
5,3,4,4,5,1.0
3,0,5,7,9,1.4
3,0,4,5,9,1.25
5,2,3,2,4,0.666666666667
5,3,4,4,5,1.0
6,5,4,4,4,1.0
5,4,5,7,7,1.4
5,3,4,3,4,0.75
4,2,4,4,7,1.0
4,1,4,6,8,1.5
4,2,5,5,6,1.0
7,6,3,2,2,0.666666666667
4,0,3,2,5,0.666666666667
5,3,3,2,4,0.666666666667
6,3,2,1,3,0.5
6,5,4,4,4,1.0
6,4,3,2,3,0.666666666667
3,1,5,5,7,1.0
2,1,8,9,9,1.125
4,2,4,4,6,1.0
5,4,5,5,5,1.0
4,2,4,4,6,1.0
4,2,5,8,9,1.6
3,1,5,5,7,1.0
7,6,3,2,2,0.666666666667
4,2,5,4,5,0.8
7,5,2,1,2,0.5
6,5,4,3,3,0.75
7,6,3,2,2,0.666666666667
8,7,2,1,1,0.5
7,5,2,1,2,0.5
7,5,2,1,2,0.5
6,4,3,2,3,0.666666666667
5,1,2,1,4,0.5
2,1,8,10,10,1.25
4,3,6,7,7,1.16666666667
6,4,3,2,3,0.666666666667
7,5,2,1,2,0.5
5,2,3,2,4,0.666666666667
5,4,5,6,6,1.2
6,5,4,4,4,1.0
6,5,4,4,4,1.0
4,3,6,6,6,1.0
3,2,7,11,11,1.57142857143
5,2,3,2,4,0.666666666667
3,0,4,3,6,0.75
5,2,3,3,5,1.0
4,2,4,3,5,0.75
4,2,4,5,7,1.25
3,1,6,7,8,1.16666666667
3,1,4,4,7,1.0
5,2,3,2,5,0.666666666667
5,3,4,4,5,1.0
4,3,6,6,6,1.0
4,1,4,4,6,1.0
4,3,6,8,8,1.33333333333
5,4,5,10,10,2.0
6,4,3,2,3,0.666666666667
6,3,2,1,3,0.5
2,1,8,11,11,1.375
6,3,2,1,3,0.5
7,5,2,1,2,0.5
2,1,8,8,8,1.0
5,2,3,2,4,0.666666666667
4,2,5,7,8,1.4
3,0,5,5,7,1.0
8,7,2,1,1,0.5
3,2,7,15,15,2.14285714286
3,1,5,5,7,1.0
6,4,3,3,4,1.0
6,4,3,2,3,0.666666666667
6,5,4,4,4,1.0
4,3,6,7,7,1.16666666667
3,1,6,8,9,1.33333333333
5,4,5,4,4,0.8
3,1,6,8,9,1.33333333333
5,3,4,4,5,1.0
4,3,6,8,8,1.33333333333
6,4,3,2,3,0.666666666667
6,3,2,1,3,0.5
8,7,2,1,1,0.5
5,2,3,2,4,0.666666666667
7,5,2,1,2,0.5
7,6,3,2,2,0.666666666667
2,0,6,10,13,1.66666666667
7,5,2,1,2,0.5
4,3,6,7,7,1.16666666667
4,1,4,3,5,0.75
4,1,4,3,5,0.75
5,2,3,2,4,0.666666666667
4,2,5,5,6,1.0
6,4,3,2,3,0.666666666667
5,3,4,5,6,1.25
7,6,3,2,2,0.666666666667
5,2,3,2,4,0.666666666667
6,4,3,2,3,0.666666666667
5,2,3,3,5,1.0
6,3,2,1,3,0.5
6,4,3,2,3,0.666666666667
6,4,3,2,3,0.666666666667
4,2,5,4,5,0.8
5,2,3,2,4,0.666666666667
3,1,5,7,10,1.4
4,1,4,4,6,1.0
6,3,2,1,3,0.5
7,5,2,1,2,0.5
6,4,3,2,3,0.666666666667
4,2,4,4,6,1.0
4,2,5,4,5,0.8
6,5,4,3,3,0.75
5,3,4,3,4,0.75
4,2,4,6,8,1.5
6,4,3,2,3,0.666666666667
4,1,4,3,5,0.75
4,2,5,4,5,0.8
5,3,3,3,5,1.0
8,7,2,1,1,0.5
5,2,3,2,4,0.666666666667
6,4,3,3,4,1.0
5,3,4,4,5,1.0
7,5,2,1,2,0.5
6,3,2,1,3,0.5
7,5,2,1,2,0.5
8,7,2,1,1,0.5
5,3,4,4,5,1.0
7,5,2,1,2,0.5
4,1,4,4,6,1.0
6,4,3,2,3,0.666666666667
6,3,2,1,3,0.5
6,4,3,3,4,1.0
2,1,8,8,8,1.0
6,4,3,2,3,0.666666666667
7,6,3,2,2,0.666666666667
6,3,2,1,3,0.5
4,2,5,7,8,1.4
3,1,4,3,6,0.75
5,3,3,2,4,0.666666666667
6,3,2,1,3,0.5
5,2,3,2,4,0.666666666667
6,4,3,3,4,1.0
3,2,7,8,8,1.14285714286
6,3,2,1,3,0.5
6,5,4,3,3,0.75
6,4,3,4,5,1.33333333333
5,3,4,4,5,1.0
3,0,4,5,8,1.25
3,1,6,8,9,1.33333333333
7,5,2,1,2,0.5
8,7,2,1,1,0.5
5,3,4,4,5,1.0
8,7,2,1,1,0.5
5,4,5,5,5,1.0
4,2,4,3,6,0.75
6,5,4,6,6,1.5
6,4,3,4,5,1.33333333333
3,1,5,7,9,1.4
2,0,5,6,10,1.2
4,2,5,4,5,0.8
4,3,6,6,6,1.0
5,2,3,2,4,0.666666666667
2,0,5,7,11,1.4
8,7,2,1,1,0.5
4,2,5,5,6,1.0
8,7,2,1,1,0.5
3,1,6,8,9,1.33333333333
5,4,5,6,6,1.2
7,5,2,1,2,0.5
3,0,4,4,8,1.0
4,1,3,2,5,0.666666666667
